Nome,Depth,i,seed,regex,Melhor_fitness,Melhor_nosso,Numero_de_comparacoes,Tempo,Tempo_total,Timed_out
abba,5,17,3018795246,^yv|[^co](v|h|u)|[c-t][i-s][i-s][t-z]\1,19,41,182043,-11606,31039,false
abba,5,18,1736058429,[^alem][t-z]|u[rst]$,15,37,243701,-9425,26450,false
balance,5,12,2196735084,[^>]<>>[<=>]>>|([<=>])\1(^<|>>)$,24,56,165972,-19216,60036,true
abba,5,19,6087432195,v|hi[a-n]|z|u[o-t]|t[a-e]|[t-y]$,18,40,516009,-18222,22833,false
abba,5,20,4925731068,v|z|[mno][i-n][c-t]|u[o-t]|t[a-h][i-t],18,40,198596,-9286,32204,false
balance,5,13,9067852413,^(<<)\1[<=>]>>|>>>$,24,56,184676,-21893,60115,true
abba,5,21,3486027915,[^co](v|h|u)|i[t-z]\1,18,40,479486,-18182,22933,false
abba,5,22,6941372580,[^c\1](h|z|u)v|,16,38,160488,-7106,23053,false
abba,5,23,1068243795,[c-t][tuv]z|,15,37,516473,-15407,18272,false
balance,5,14,2405681973,(><^<|<[<=>](<|>)([<=>])[<=>]>[<=>]\2)\2[<=>],23,55,71113,-7121,60059,true
abba,5,24,1764028593,[^e]h|oi|mi|[a-t][u-z][e-t],17,39,510437,-26389,33745,false
abba,5,25,3857069214,[c-t][tuv]z|,15,37,391970,-13026,20001,false
balance,5,15,2738495106,<^<|(<)\1[<=>][^<]>>[<=>]<\1[<=>],25,57,103772,-10785,60112,true
abba,5,26,9125784630,[f-t]([t-z]|h),14,36,227268,-6916,19492,false
abba,5,27,7914823056,[^]u|i^r|[o-r]s|[p-s][f-t]i|[a-t][h-s][c-i][t-z],20,42,430854,-25107,41317,false
balance,5,16,1069782534,[<=>][<=>]>[<=>]([^<])\1<<[<=>][<=>],24,56,18254,-2040,60044,true
abba,5,28,1258360497,^r|ls|[^aotn][tu]|ur|z,19,41,443382,-17179,28136,false
abba,5,29,7965023841,[^\1](h|u|n)[i-v][c-z],17,39,38084,-1799,25341,false
balance,5,17,3018795246,(<)[^>](>|)<<\2[<=>]>(>|><^<)[<=>],23,55,368448,-42927,60265,true
aman-aplan,5,1,4105328976,x|^r|^t|^[h-k]|v|d,12,33,338768,-20613,34195,false
aman-aplan,5,1,6370951248,x|^r|^t|^[i-n]|a^cimpr|[a-d]$,14,35,156629,-10541,31492,false
balance,5,18,1736058429,<<[<=>]>>>[^]<<[<=>],25,57,140253,-14202,60030,true
aman-aplan,5,2,9431657082,x|^r|^t|^[i-n]|d[^]u|l[l-r]|[a-d]$,16,37,429424,-30599,42056,false
